timestamp,system_state,detection_count,inference_time,depth_estimation_time
4200704,2,0,126,0
4200907,2,0,247,0
4201124,2,0,200,0
4201400,2,0,256,0
4201656,2,0,221,0
4201910,2,0,243,0
4202117,2,0,179,0
4202381,2,0,212,0
4202640,2,0,179,0
4202859,2,0,198,0
4203081,2,0,198,0
4203306,2,0,374,0
4203538,2,0,256,0
4203778,2,0,220,0
4204021,2,0,204,0
4204273,2,0,277,0
4204522,2,0,171,0
4204748,2,0,171,0
4205000,2,0,157,0
4205239,2,0,209,0
4205443,2,0,191,0
4205673,2,0,225,0
4205936,2,0,278,0
4206183,2,0,231,0
4206423,2,0,229,0
4206662,2,0,193,0
4206903,2,0,248,0
4207134,2,0,232,0
4207379,2,0,232,0
4207606,2,0,216,0
4207886,2,0,191,0
4208125,2,0,163,0
4208398,2,0,251,0
4208623,2,0,202,0
4208877,2,0,259,0
4209118,2,0,226,0
4209380,2,0,227,0
4209621,2,0,138,0
4209840,2,0,241,0
4210106,2,0,340,0
4210330,2,0,219,0
4210556,2,0,231,0
4210784,2,0,266,0
4211008,2,0,229,0
4211288,2,0,151,0
4211531,2,0,291,0
4211764,2,0,159,0
4211999,2,0,218,0
4212206,2,0,212,0
4212480,2,0,217,0
4212727,2,0,254,0
4212942,2,0,230,0
4213216,2,0,251,0
4213450,2,0,234,0
4213690,2,0,199,0
4213943,2,0,255,0
4214170,2,0,193,0
4214394,2,0,217,0
4214628,2,0,157,0
4214909,2,0,204,0
4215147,2,0,228,0
4215382,2,0,207,0
4215602,2,0,230,0
4215819,2,0,197,0
4216031,2,0,217,0
4216257,2,0,240,0
4216494,2,0,204,0
4216760,2,0,218,0
